"dyad","start_date","end_date","intended_duration","part_of_process","time_rel_process","unilat","dyadName"
"624",2018-06-15,2018-06-19,"Premliminary","No","0","Unilateral","Government of Colombia - ELN"
"624",2018-05-25,2018-05-29,"Premliminary","No","0","Unilateral","Government of Colombia - ELN"
"624",2018-03-09,2018-03-13,"Premliminary","No","0","Unilateral","Government of Colombia - ELN"
"624",2017-10-01,2018-01-09,"Premliminary","Yes","2","Bilateral","Government of Colombia - ELN"
"624",2017-10-01,NA,"Premliminary","Yes","2","Bilateral","Government of Colombia - ELN"
"623",2016-12-01,2017-08-15,"Permanent","Yes","3","Bilateral","Government of Colombia - FARC"
"623",2016-10-13,2016-11-30,"Premliminary","Yes","2","Bilateral","Government of Colombia - FARC"
"623",2016-10-03,2016-10-12,"Premliminary","Yes","2","Bilateral","Government of Colombia - FARC"
"623",2016-08-29,2016-10-02,"Permanent","Yes","3","Bilateral","Government of Colombia - FARC"
"623",2015-08-20,2016-08-28,"Premliminary","Yes","2","Unilateral","Government of Colombia - FARC"
"623",2015-07-20,2015-08-19,"Premliminary","Yes","2","Unilateral","Government of Colombia - FARC"
"623",2014-12-20,2015-05-22,"Premliminary","Yes","2","Unilateral","Government of Colombia - FARC"
"623",2014-06-09,2014-06-30,"Premliminary","No","0","Unilateral","Government of Colombia - FARC"
"623",2014-05-20,2014-05-28,"Premliminary","No","0","Unilateral","Government of Colombia - FARC"
"624",2014-05-20,2014-05-28,"Premliminary","No","0","Unilateral","Government of Colombia - ELN"
"623",2013-12-15,2014-01-15,"Premliminary","No","0","Unilateral","Government of Colombia - FARC"
"623",2012-11-20,2013-01-20,"Premliminary","Yes","1","Unilateral","Government of Colombia - FARC"
"-1",2004-05-13,NA,"Permanent","Yes","3","Unilateral","Government of Colombia - AUC"
"-1",2003-07-15,NA,"Permanent","Yes","3","Unilateral","Government of Colombia - AUC"
"-1",2002-12-01,2003-07-14,"Premliminary","Yes","1","Unilateral","Government of Colombia - AUC"
"624",2001-12-18,2002-01-06,"Premliminary","No","0","Unilateral","Government of Colombia - ELN"
"624",2000-10-31,2000-11-01,"Premliminary","No","0","Bilateral","Government of Colombia - ELN"
"624",2000-04-13,2000-04-23,"Premliminary","No","0","Unilateral","Government of Colombia - ELN"
"623",1999-12-20,2000-01-10,"Premliminary","No","0","Unilateral","Government of Colombia - FARC"
"-1",1998-12-20,1999-01-06,"Premliminary","No","0","Unilateral","Government of Colombia - AUC"
"626",1990-06-01,1991-02-15,"Premliminary","Yes","1","Unilateral","Government of Colombia - EPL"
"626",1989-05-02,NA,"Premliminary","Yes","1","Unilateral","Government of Colombia - EPL"
"623",1989-02-28,NA,"Premliminary","Yes","1","Unilateral","Government of Colombia - FARC"
"625",1989-02-05,NA,"Premliminary","Yes","2","Unilateral","Government of Colombia - M-19"
"625",1989-01-10,1989-02-04,"Premliminary","Yes","2","Unilateral","Government of Colombia - M-19"
